Date,MAIN_MARKET_50_index_Open,MAIN_MARKET_50_index_High,MAIN_MARKET_50_index_Low,MAIN_MARKET_50_index_Close,NSE-ALL_SHARE_index_Open,NSE-ALL_SHARE_index_High,NSE-ALL_SHARE_index_Low,NSE-ALL_SHARE_index_Close,NIFTY_50_index_Open,NIFTY_50_index_High,NIFTY_50_index_Low,NIFTY_50_index_Close,FTSE_AOX_GENERAL_index_Open,FTSE_AOX_GENERAL_index_High,FTSE_AOX_GENERAL_index_Low,FTSE_AOX_GENERAL_index_Close,QE_GENERAL_index_Open,QE_GENERAL_index_High,QE_GENERAL_index_Low,QE_GENERAL_index_Close,FTSE_100_index_Open,FTSE_100_index_High,FTSE_100_index_Low,FTSE_100_index_Close,BOVESPA_index_Open,BOVESPA_index_High,BOVESPA_index_Low,BOVESPA_index_Close,NKY_index_Open,NKY_index_High,NKY_index_Low,NKY_index_Close,XIN9I_index_Open,XIN9I_index_High,XIN9I_index_Low,XIN9I_index_Close,DAX_index_Open,DAX_index_High,DAX_index_Low,DAX_index_Close,SPX_index_Open,SPX_index_High,SPX_index_Low,SPX_index_Close
22/11/2022,44662.96,44976.21,44662.96,44929.33,44662.96,44976.21,44662.96,44929.33,18179.15,18261.85,18137.7,18244.2,10399.28,10400.2,10355.23,10392.58,3791.86,3792.32,3727.56,3778.25,7376.85,7458.88,7373.56,7452.84,109749.71,110223.73,107867.47,109036.54,28059.51,28203.35,28038.16,28115.74,12131.48,12326.58,12092.75,12195.31,14352.54,14485.49,14343.8,14422.35,3965.51,4005.88,3956.88,4003.58
23/11/2022,44934.73,46233.18,44899.66,46232.37,44934.73,46233.18,44899.66,46232.37,18325.2,18325.4,18246,18267.25,10392.58,10528.73,10366.28,10528.73,3786.04,3825.49,3777.12,3817.82,7452.84,7498.34,7452.84,7465.24,109035.8,109285.24,107901.91,108841.15,,,,,12195.31,12293.9,12135.78,12212.22,14438.2,14446.33,14363.51,14427.59,4000.3,4033.78,3998.66,4027.26
24/11/2022,46232.6,46604.94,46186.63,46604.94,46232.6,46604.94,46186.63,46604.94,18326.1,18529.7,18294.25,18484.1,10528.73,10534.66,10494.84,10534.66,3795.17,3810.48,3773.65,3784.48,7465.24,7488.07,7443.46,7466.6,108845.74,112612.16,108845.74,111831.16,28373.72,28502.29,28363.66,28383.09,12212.22,12325.03,12118.41,12135.78,14456.15,14570.71,14447.55,14539.56,,,,
25/11/2022,46604.94,47562.29,46424.6,47554.34,46604.94,47562.29,46424.6,47554.34,18528.45,18534.9,18445.1,18512.75,10534.66,10534.66,10492.36,10528.49,,,,,7466.6,7497.23,7461.78,7486.67,111831.16,112025.47,108551.96,108976.7,28398.77,28399.88,28263.6,28283.03,12135.78,12292.47,12087.24,12240.59,14547.58,14571.66,14498.05,14541.38,4023.34,4034.02,4020.76,4026.12
27/11/2022,,,,,,,,,,,,,,,,,3779.11,3785.09,3729.24,3729.24,,,,,,,,,,,,,,,,,,,,,,,,
28/11/2022,47554.34,47576,47389.79,47436.45,47554.34,47576,47389.79,47436.45,18430.55,18614.25,18365.6,18562.75,10528.49,10535.39,10406.34,10406.34,3735.97,3738,3679.14,3697.89,7486.67,7496.8,7420,7474.02,108976.7,109476.06,108377.75,108782.15,28220.56,28238.5,28046.32,28162.83,12240.59,12240.59,11833.19,12093.45,14471.1,14514.73,14374.15,14383.36,4005.36,4012.27,3955.77,3963.94
29/11/2022,47436.45,47450.71,47299.16,47322.97,47436.45,47450.71,47299.16,47322.97,18552.45,18678.1,18552.15,18618.05,10406.34,10441.39,10347.06,10392.3,3726.83,3828.56,3725.98,3828.56,7474.02,7543.09,7473.99,7512,108783.98,112187.11,108783.98,110909.61,27991.5,28055.91,27899.98,28027.84,12093.45,12578.03,12093.45,12557.58,14404.67,14429.87,14327.04,14355.45,3964.19,3976.77,3937.65,3957.63
30/11/2022,47322.97,47662.71,47318.9,47660.04,47322.97,47662.71,47318.9,47660.04,18625.7,18816.05,18616.55,18758.35,10392.3,10552.37,10327.94,10552.37,3781.32,3839.02,3760.83,3839.02,7512,7599.27,7512,7573.05,110909.69,112486.01,110202.25,112486.01,27886.67,27972.89,27802.71,27968.99,12557.58,12642.9,12491.78,12602.06,14429.22,14487.7,14363.32,14397.04,3957.18,4080.11,3938.58,4080.11
1/12/2022,47660.04,47769.38,47537.87,47656.64,47660.04,47769.38,47537.87,47656.64,18871.95,18887.6,18778.2,18812.5,,,,,3816.79,3858.76,3806.24,3858.76,7573.05,7599.7,7552.29,7558.49,112478.68,112478.76,110547.84,110925.6,28273.13,28423.46,28226.08,28226.08,12602.06,13014.33,12602.06,12778.19,14543.8,14563.7,14423.79,14490.3,4087.14,4100.51,4050.87,4076.57
2/12/2022,47656.64,48198.48,47656.64,48154.65,47656.64,48198.48,47656.64,48154.65,18752.4,18781.95,18639.2,18696.1,,,,,,,,,7558.49,7570.46,7507.98,7556.23,110925.74,113760.75,109963.02,111923.93,27983.18,27983.18,27662.12,27777.9,12778.19,12791.8,12678.78,12699.95,14465.7,14584.59,14372.42,14529.39,4040.17,4080.48,4026.63,4071.7
